No,Player,Pos,Age,Tm,G,MP,Distance,threemg,threeag,pct3PA,accuracy3P
1,Precious Achiuwa,C,22,TOR,48,1107,8.3,0.4,1.2,0.169,0.305
3,Bam Adebayo,C,24,MIA,34,1134,7.2,0,0.1,0.009,0
4,Santi Aldama,PF,21,MEM,27,277,12.6,0.1,1.4,0.402,0.103
5,LaMarcus Aldridge,C,36,BRK,39,894,12.3,0.3,1,0.096,0.308
6,Nickeil Alexander-Walker,SG,23,TOT,52,1322,15.6,1.8,5.9,0.483,0.31
7,Grayson Allen,SG,26,MIL,49,1371,19.4,2.5,6.4,0.685,0.392
8,Jarrett Allen,C,23,CLE,50,1630,3.9,0,0.2,0.02,0.1
9,Jose Alvarado,PG,23,NOP,31,396,13.8,0.6,1.8,0.404,0.316
10,Justin Anderson,SF,28,TOT,6,77,21.5,0.5,2.5,0.789,0.2
11,Kyle Anderson,PF,28,MEM,47,1022,10.8,0.6,1.7,0.239,0.333
12,Giannis Antetokounmpo,PF,27,MIL,49,1604,10.4,1.2,3.8,0.208,0.309
13,Thanasis Antetokounmpo,SF,29,MIL,37,358,5.7,0,0.3,0.128,0.091
14,Carmelo Anthony,PF,37,LAL,50,1327,19.4,2.3,5.9,0.565,0.392
15,Cole Anthony,PG,21,ORL,46,1516,16.1,2.2,6.5,0.425,0.337
16,OG Anunoby,SF,24,TOR,42,1541,15.2,2.4,6.8,0.449,0.351
17,Trevor Ariza,SF,36,LAL,20,385,21.1,1,3.1,0.824,0.328
18,D.J. Augustin,PG,34,HOU,34,510,19.8,1.1,2.8,0.706,0.406
19,Deni Avdija,SF,21,WAS,58,1359,14.2,0.9,2.9,0.446,0.307
20,Joel Ayayi,SG,21,WAS,7,20,12.6,0,0.1,0.167,0
21,Deandre Ayton,C,23,PHO,37,1076,5.9,0.1,0.2,0.021,0.222
23,Marvin Bagley III,PF,22,TOT,32,700,9.9,0.5,2,0.24,0.238
24,LaMelo Ball,PG,20,CHO,53,1733,15.6,2.7,7.3,0.432,0.367
25,Lonzo Ball,PG,24,CHI,35,1212,19.9,3.1,7.4,0.679,0.423
26,Mo Bamba,C,23,ORL,49,1272,13.8,1.3,3.7,0.437,0.344
27,Desmond Bane,SF,23,MEM,56,1691,16.9,2.9,6.9,0.481,0.419
28,Dalano Banton,SF,22,TOR,47,555,11.1,0.2,0.9,0.257,0.256
30,Harrison Barnes,PF,29,SAC,55,1852,13.5,2,4.8,0.432,0.409
31,Scottie Barnes,PF,20,TOR,49,1736,11.2,0.8,2.7,0.221,0.313
32,RJ Barrett,SF,21,NYK,48,1587,12.6,2,5.6,0.365,0.354
33,Will Barton,SG,31,DEN,51,1649,15.7,2.2,6,0.464,0.37
34,Paris Bass,SF,26,PHO,2,7,11.7,0,1,0.333,0
35,Charles Bassey,PF,21,PHI,23,168,5.6,0,0.2,0.085,0
36,Keita Bates-Diop,SF,26,SAS,45,732,8.4,0.3,0.9,0.218,0.333
37,Nicolas Batum,PF,33,LAC,40,992,20.3,2,4.7,0.713,0.418
38,Kent Bazemore,SF,32,LAL,32,462,17.8,0.8,2.1,0.554,0.358
39,Darius Bazley,PF,21,OKC,53,1449,12.2,1,3.5,0.391,0.294
40,Bradley Beal,SG,28,WAS,40,1439,13.1,1.6,5.3,0.272,0.3
41,Malik Beasley,SG,25,MIN,59,1495,20.2,2.9,8.2,0.719,0.353
43,DeAndre' Bembry,SF,27,BRK,48,949,6.2,0.3,0.8,0.169,0.417
44,D?vis Bert?ns,PF,29,TOT,36,532,23.6,1.4,4.4,0.849,0.316
45,Patrick Beverley,PG,33,MIN,40,1055,16.6,1.4,4.2,0.542,0.333
46,Saddiq Bey,SF,22,DET,58,1950,17,2.6,7.4,0.528,0.346
47,Khem Birch,C,29,TOR,31,579,6.4,0,0.3,0.068,0
48,Goga Bitadze,C,22,IND,35,413,10.4,0.2,1.3,0.324,0.17
50,Nemanja Bjelica,C,33,GSW,53,813,14.8,0.8,2.3,0.457,0.339
51,Eric Bledsoe,PG,32,LAC,54,1361,14.2,0.9,3,0.348,0.313
52,Keljin Blevins,SF,26,POR,12,73,17.5,0.5,1.2,0.609,0.429
53,Bogdan Bogdanovi?,SG,29,ATL,40,1149,19.8,2.5,6.6,0.589,0.375
54,Bojan Bogdanovi?,PF,32,UTA,56,1734,15.2,2.4,6.4,0.483,0.38
55,Bol Bol,PF,22,DEN,14,81,10.6,0.1,0.3,0.148,0.25
56,Leandro Bolmaro,SF,21,MIN,25,188,15.4,0.1,0.5,0.375,0.167
57,Isaac Bonga,SF,22,TOR,13,66,11,0.1,0.3,0.308,0.25
58,Devin Booker,SG,25,PHO,51,1741,16.2,2.6,7.1,0.342,0.369
59,Brandon Boston Jr.,SG,20,LAC,41,621,14.7,0.7,2.3,0.356,0.298
60,Chris Boucher,PF,29,TOR,55,1113,12.3,0.8,2.7,0.393,0.284
